model,MAE_mean,MAE_std,RMSE_mean,RMSE_std
[SE1] HGB,15.8894525351813,5.8569042072077995,23.57842290057125,13.220855378552157
[SE1] Naive(lag1),17.34631741103183,1.455128476419712,22.471840460083914,1.8903409315568045
[SE1] Ridge,15.451438701574308,1.169268682319803,20.03802035667254,1.5464940365311417
[SE1] SNaive(lag24),48.588764220362236,7.823136834783608,63.67912217023441,10.616121042409814
[SE2] HGB,29.089161891094545,8.431311778146659,40.35635799143367,14.12139816962951
[SE2] Naive(lag1),37.782434852250276,4.826025789122061,50.32199836243865,5.735589835698959
[SE2] Ridge,34.25741472800424,2.6410524368219233,45.30947705301379,3.061918117003343
[SE2] SNaive(lag24),101.18047778035127,16.631911910410178,132.6473925254927,19.631453704938632
[SE3] HGB,120.71218919884424,77.6414745704513,195.15330309136846,171.36423171705042
[SE3] Naive(lag1),206.61958146015368,33.24128018260514,283.90748932061473,38.580317937837265
[SE3] Ridge,174.77449470982157,21.116309198726032,232.2556159343466,27.805845200167923
[SE3] SNaive(lag24),477.40982907996704,84.32666966313428,679.5263702106621,87.86236978284356
[SE4] HGB,38.304622810709986,19.630029825067076,61.18604725957242,45.382153601437714
[SE4] Naive(lag1),65.07221145587268,9.772782102805117,90.58794350010871,11.969224402156673
[SE4] Ridge,58.85342715569213,8.195887724739348,78.14349094856657,11.2615447468927
[SE4] SNaive(lag24),161.00454952332603,21.71666452155458,231.560550384716,22.820663654703413
